id,depo,distance,centroidX,centroidY,centroidZ
m01,1.30789,6.600445209,15.4108,9.36524,11.7521
m01,0.654629,6.020222273,15.6424,5.24321,11.4683
m01,1.23209,6.230209206,11.0956,8.79161,12.1801
m01,1.07727,7.261394567,10.4922,7.39075,10.8543
m01,1.10319,4.760551029,15.6965,5.4639,12.8009
m01,1.06849,4.953272491,13.7819,8.00294,13.214
m01,0.258643,5.320898544,18.1837,5.42089,12.1207
m01,0.866442,5.614580791,11.47,6.90531,12.3977
m01,0.7305,2.99576804,13.3266,7.63881,15.1572
m01,1.28338,7.142386859,10.6009,10.1073,11.5438
m01,1.23698,3.821386061,15.2007,5.69644,13.8299
m01,1.30999,7.04356555,12.0021,7.99509,11.1448
m01,0.727999,5.789307796,17.1514,6.19506,11.8454
m01,0.713209,7.085210817,11.9548,5.94003,10.6713
m01,1.22583,4.674948015,14.1091,5.58004,12.9755
m01,1.26636,7.101153613,12.6549,11.277,11.7513
m01,0.971453,5.667828038,12.8607,6.48694,12.2003
m01,1.38867,5.050830389,14.5256,6.57029,12.7832
m01,1.17056,7.715050013,9.36139,10.1433,11.0146
m01,0.705866,6.0636507,14.4828,5.37231,11.4968
m01,1.13063,6.063461667,15.8067,6.49493,11.6812
m01,1.03847,6.704372695,13.3804,6.84195,11.1945
m01,0.881951,7.353393932,10.9292,6.55557,10.5671
m01,0.990567,5.671984459,13.9687,10.1915,12.9325
m01,1.39752,6.82779987,14.5575,9.12575,11.5028
m01,1.32369,5.896324401,14.9927,7.39702,12.0742
m01,1.06045,3.780935981,13.0187,6.79093,14.1878
m01,0.943234,3.859421448,12.7558,7.99374,14.3712
m01,1.17568,6.218371112,10.8555,7.40135,11.9089
m01,0.770348,5.889754603,13.9719,11.3755,12.959
m01,0.699508,3.566143786,12.7782,9.02869,14.8882
m01,1.05124,6.26138926,10.9026,10.2023,12.4529
m01,1.39334,4.198166201,13.4409,5.96633,13.5708
m01,0.476726,6.614749574,14.2381,5.1304,10.8919
m01,1.34955,6.773886529,14.8388,7.58463,11.2223
m01,1.01732,6.397019149,14.5161,6.44381,11.3802
m01,1.01279,6.319988934,11.5983,6.34534,11.5533
m01,0.756131,7.670536317,11.2716,9.2634,10.7995
m01,1.3129,6.448144663,10.5028,8.54281,11.9282
m01,0.973696,7.098015146,11.9522,7.12856,10.9086
m01,0.992167,5.610205428,14.1882,5.68404,12.0378
m01,1.55495,6.60954852,16.0152,8.82221,11.6046
m01,0.945437,6.571245113,16.2729,10.1774,11.919
m01,0.0609427,5.187498944,13.0711,12.5602,13.9622
m01,1.18324,4.88852824,13.0059,7.68662,13.2442
m01,1.4443,4.764886983,13.8322,7.003,13.1941
m01,1.04708,5.665469081,12.8871,9.02281,12.7357
m01,0.846495,5.746837433,12.446,11.2894,13.1472
m01,0.68127,9.832412249,13.7834,14.8004,9.65555
m01,1.20612,15.16252849,11.2569,15.5766,4.46756
m01,0.615481,12.20361416,13.3298,14.9701,7.28416
m01,1.21605,9.570743072,11.809,12.0039,9.4121
m01,0.628802,10.97926062,13.8027,14.5394,8.42695
m01,0.308806,17.13709106,13.0839,13.9796,2.03983
m01,0.982145,10.72625661,11.7837,12.9094,8.42205
m01,1.69425,13.2218758,9.53269,15.6441,6.53446
m01,0.675271,15.27631072,13.7073,13.1197,3.73717
m01,1.35662,8.598371149,13.4567,15.7882,11.1385
m01,0.972013,13.56393843,13.7228,13.3745,5.54145
m01,1.14708,9.369568163,7.6452,9.14601,9.18019
